Report_Date,Case ID,Source,Event Type,Portfolio,OneCode,Location,ClientName,Scheme,Team Name,Process Name,Process Group,Current Outsourcing Team,Onshore/Offshore,Scan+2,Site,Manual/RPA,Critical,Forthcoming Event,Operational Location,Current Activity User,Consented/Non consented,Mercer Consented,Vulnerable Customer,Start Date,Create Date,Data Type,Target Date,End Date,Within SLA,No of Days,Days to Target,Pend Case,No of days in pend,Regulatory Date (disclosure),Pend Reason
15-01-2025,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Email,Request,Hybrid,RVI-43321,Singapore,Garza Inc,Assimilated background data-warehouse,Team A,Validation,Group 1,Team X,Onshore,17-01-2025,Sydney,Manual,Yes,No,London,williamjohnson,Non consented,No,Yes,15-01-2025,15-01-2025,Transaction,22-01-2025,15-01-2025,Within SLA,0,,Yes,1,18-01-2025,Client Response
15-01-2025,b38a088c-a65e-4389-b74d-0fb132e70629,Email,Follow-up,Equity,rZa-86379,Mumbai,Wolfe LLC,Grass-roots coherent data-warehouse,Team B,Processing,Group 1,Team Z,Offshore,15-01-2025,Sydney,Manual,No,Yes,Sydney,curtis61,Non consented,No,Yes,10-01-2025,13-01-2025,Complaint,17-01-2025,,Within SLA,3,2,Yes,2,16-01-2025,System Issue
15-01-2025,9a8dca03-580d-4b71-98f5-64135be6128e,Paper,Closure,Debt,yfJ-40781,Mumbai,Calderon-Montgomery,Multi-lateral object-oriented core,Team A,Processing,Group 2,Team X,Offshore,17-01-2025,New York,Manual,Yes,Yes,Singapore,williamsjeremy,Non consented,No,Yes,15-01-2025,15-01-2025,Complaint,21-01-2025,,Within SLA,0,6,Yes,1,16-01-2025,Client Response
15-01-2025,daf61a26-146d-4f31-bc37-7a4c4a15544d,Portal,Request,Equity,Oxk-31647,Sydney,Kelly-Santiago,Total systemic project,Team C,Processing,Group 1,Team Z,Offshore,16-01-2025,Singapore,RPA,Yes,No,London,lynchgeorge,Consented,No,No,14-01-2025,14-01-2025,Complaint,20-01-2025,15-01-2025,Within SLA,1,,No,0,17-01-2025,
15-01-2025,7656af72-29d4-4eef-beab-edcbbaa80dd4,Email,Request,Equity,XXd-64835,London,Underwood LLC,Open-architected encompassing architecture,Team C,Audit,Group 1,Team Y,Offshore,16-01-2025,Sydney,RPA,No,Yes,New York,robinbradley,Non consented,No,Yes,12-01-2025,14-01-2025,Query,16-01-2025,15-01-2025,Within SLA,2,,No,0,16-01-2025,
15-01-2025,a7cad415-366e-416f-908e-bad7b7c93acf,Phone,Request,Hybrid,ipV-76724,Mumbai,"Ryan, Burgess and Patterson",Reduced impactful hierarchy,Team C,Approval,Group 1,Team Y,Onshore,16-01-2025,Sydney,Manual,No,No,New York,wendytaylor,Consented,No,No,13-01-2025,14-01-2025,Transaction,21-01-2025,15-01-2025,Within SLA,2,,No,0,18-01-2025,
15-01-2025,0c0fd195-c17a-408a-9745-d6d87e570ddf,Phone,Change,Hybrid,eyy-12269,Singapore,"Ferrell, Rice and Maddox",Advanced systemic success,Team C,Approval,Group 2,Team Z,Offshore,17-01-2025,London,Manual,No,No,Mumbai,maldonadoamanda,Non consented,No,Yes,14-01-2025,15-01-2025,Transaction,23-01-2025,15-01-2025,Within SLA,1,,Yes,1,16-01-2025,Other
15-01-2025,5715bd6f-a416-4293-84c2-e2e3444ea7c8,Email,Request,Equity,aUU-14627,New York,Stanton-Gill,Profit-focused bi-directional product,Team A,Processing,Group 1,Team Z,Onshore,17-01-2025,Mumbai,RPA,Yes,Yes,Sydney,meagan89,Non consented,Yes,No,15-01-2025,15-01-2025,Query,22-01-2025,15-01-2025,Within SLA,0,,Yes,1,16-01-2025,Client Response
15-01-2025,c333e861-5fb8-416c-a720-797d32ebd689,Paper,Follow-up,Hybrid,uFb-28809,New York,Hickman LLC,Front-line analyzing encoding,Team C,Validation,Group 1,Team Y,Offshore,17-01-2025,New York,Manual,Yes,Yes,Sydney,millertodd,Non consented,Yes,No,15-01-2025,15-01-2025,Transaction,20-01-2025,,Within SLA,0,5,No,0,17-01-2025,
15-01-2025,885f6e66-c2b6-42c5-ba5d-310011b7e948,Email,Request,Hybrid,qHM-22782,Sydney,Brandt-Hickman,Versatile upward-trending solution,Team A,Validation,Group 1,Team X,Offshore,16-01-2025,Singapore,RPA,Yes,No,New York,jenniferross,Consented,No,Yes,11-01-2025,14-01-2025,Query,16-01-2025,15-01-2025,Within SLA,2,,No,0,18-01-2025,
15-01-2025,702753a1-5f98-4c71-a65e-688eabf3ad39,Phone,Closure,Equity,evb-87133,New York,"Spencer, Chapman and Smith",Triple-buffered responsive approach,Team C,Validation,Group 2,Team X,Onshore,16-01-2025,Sydney,RPA,Yes,Yes,Sydney,carlosjohnson,Consented,Yes,Yes,11-01-2025,14-01-2025,Complaint,17-01-2025,,Within SLA,2,2,No,0,16-01-2025,
15-01-2025,3ceddf2d-839f-4c50-9223-b5135496f63c,Email,Follow-up,Hybrid,UKK-47382,Sydney,Sanchez-Kennedy,Open-source content-based attitude,Team C,Processing,Group 2,Team X,Offshore,17-01-2025,London,RPA,No,Yes,Mumbai,hopkinsmichael,Non consented,No,Yes,14-01-2025,15-01-2025,Transaction,22-01-2025,15-01-2025,Within SLA,1,,Yes,1,18-01-2025,Awaiting Docs
